INFO 2024-12-07 16:00:34,297 autoreload Watching for file changes with StatReloader
INFO 2024-12-07 16:00:50,151 basehttp "GET //api/suppliers/ HTTP/1.1" 301 0
INFO 2024-12-07 16:00:50,215 basehttp code 400, message Bad request version ('À\x13À')
ERROR 2024-12-07 16:00:50,216 basehttp You're accessing the development server over HTTPS, but it only supports HTTP.
INFO 2024-12-07 16:00:52,534 basehttp "GET //api/suppliers/ HTTP/1.1" 301 0
INFO 2024-12-07 16:00:52,538 basehttp code 400, message Bad request version ('À\x13À')
ERROR 2024-12-07 16:00:52,538 basehttp You're accessing the development server over HTTPS, but it only supports HTTP.
INFO 2024-12-09 10:17:00,868 autoreload Watching for file changes with StatReloader
WARNING 2024-12-09 10:17:39,747 log Unauthorized: /api/users/
WARNING 2024-12-09 10:17:39,747 basehttp "GET //api/users/ HTTP/1.1" 401 183
INFO 2024-12-09 10:17:49,229 basehttp "POST //api-auth/login/ HTTP/1.1" 200 444
INFO 2024-12-09 10:18:05,744 basehttp "GET //api/users/ HTTP/1.1" 200 300
WARNING 2024-12-09 10:18:50,530 log Bad Request: /api/users/
WARNING 2024-12-09 10:18:50,530 basehttp "POST //api/users/ HTTP/1.1" 400 109
WARNING 2024-12-09 10:19:00,817 log Not Found: /
WARNING 2024-12-09 10:19:00,818 basehttp "GET / HTTP/1.1" 404 179
INFO 2024-12-09 10:19:03,850 basehttp "GET /admin HTTP/1.1" 301 0
INFO 2024-12-09 10:19:03,976 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:04,438 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:04,439 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,783 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:04,790 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,789 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:04,793 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,786 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:04,798 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:04,801 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:04,802 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,814 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,823 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,860 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:04,875 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:04,879 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:04,881 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:04,888 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,894 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,896 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:04,905 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:05,294 log Not Found: /favicon.ico
WARNING 2024-12-09 10:19:05,294 basehttp "GET /favicon.ico HTTP/1.1" 404 179
INFO 2024-12-09 10:19:08,999 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:09,048 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:09,049 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,055 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:09,057 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:09,062 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,059 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:09,061 log Not Found: /static/admin/js/theme.js
